Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62831)
rand_mask=b'U-\x8e\xb6\xc8\xfd\x06y'
masked_addr=b'UI,\x15\xc9\xfd\x06y'
target_addr=0064a2a301000000
lowest_message_bit=14
key 0
162: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000], checks for var: 15
164: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 16
165: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 9
166: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
167: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
168: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
170: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.833, 0.163, 0.004, 0.000], checks for var: 15
171: expect=1, actual=np.int64(0), [0.000, 0.002, 0.052, 0.945, 0.001, 0.000, 0.000], checks for var: 11
172: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
173: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.007, 0.987, 0.005, 0.000, 0.000], checks for var: 8
174: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 17
175: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.990, 0.009, 0.001, 0.000], checks for var: 14
177: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.011, 0.963, 0.022, 0.004], checks for var: 12
179: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
180: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
181: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
182: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 10
183: expect=2, actual=np.int64(0), [0.001, 0.000, 0.000, 0.999, 0.000, 0.000, 0.000], checks for var: 16
184: expect=1, actual=np.int64(0), [0.000, 0.001, 0.035, 0.964, 0.000, 0.000, 0.000], checks for var: 12
187: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
188: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.993, 0.006, 0.001], checks for var: 14
189: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.985, 0.014, 0.000, 0.000], checks for var: 12
190: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
191: expect=3, actual=np.int64(0), [0.000, 0.000, 0.001, 0.980, 0.019, 0.000, 0.000], checks for var: 11
193: expect=1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.997, 0.000, 0.000, 0.000], checks for var: 12
194: expect=0, actual=np.int64(-1), [0.003, 0.218, 0.773, 0.006, 0.000, 0.000, 0.000], checks for var: 12
196: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.962, 0.037, 0.000, 0.000], checks for var: 12
199: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
202: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.028, 0.971, 0.000, 0.000, 0.000], checks for var: 15
203: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
204: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
205: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 9
206: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
208: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 18
209: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 15
210: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.005, 0.992, 0.003, 0.000, 0.000], checks for var: 11
211: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
213: expect=1, actual=np.int64(0), [0.000, 0.001, 0.002, 0.996, 0.001, 0.000, 0.000], checks for var: 8
216: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.612, 0.386, 0.001, 0.000], checks for var: 15
218: expect=1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.998, 0.000, 0.000, 0.000], checks for var: 12
219: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
220: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 13
222: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 17
224: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
225: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
226: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
227: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
228: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 9
229: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.937, 0.062, 0.000, 0.000], checks for var: 10
230: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
231: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
233: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
236: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
238: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.028, 0.971, 0.000, 0.000, 0.000], checks for var: 12
239: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
