Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 49584)
rand_mask=b'\xfe\xa6\xc4\xd8O8XO'
masked_addr=b'\xfe\x01f{N8XO'
target_addr=00a7a2a301000000
lowest_message_bit=15
key 0
125: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.993, 0.007], checks for var: 19
127: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.996, 0.000, 0.000, 0.000], checks for var: 19
128: expect=-2, actual=np.int64(-1), [0.000, 0.003, 0.996, 0.000, 0.000, 0.000, 0.000], checks for var: 20
129: expect=0, actual=np.int64(-2), [0.007, 0.754, 0.021, 0.218, 0.000, 0.000, 0.000], checks for var: 19
132: expect=1, actual=np.int64(-1), [0.001, 0.002, 0.997, 0.000, 0.000, 0.000, 0.000], checks for var: 19
133: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 18
134: expect=0, actual=np.int64(-1), [0.001, 0.425, 0.554, 0.021, 0.000, 0.000, 0.000], checks for var: 19
135: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.999, 0.001, 0.000], checks for var: 20
136: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.002, 0.998], checks for var: 19
137: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.999, 0.000, 0.000], checks for var: 19
138: expect=1, actual=np.int64(-3), [1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
139: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.020, 0.980, 0.000], checks for var: 19
140: expect=1, actual=np.int64(-2), [0.000, 0.999, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 19
142: expect=2, actual=np.int64(-2), [0.008, 0.991, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 18
144: expect=1, actual=np.int64(-1), [0.000, 0.053, 0.715, 0.232, 0.000, 0.000, 0.000], checks for var: 19
145: expect=0, actual=np.int64(-2), [0.050, 0.950, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
146: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.067, 0.564, 0.368, 0.000], checks for var: 19
147: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.987, 0.012, 0.000, 0.000], checks for var: 17
148: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.915, 0.085, 0.000, 0.000], checks for var: 19
149: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.660, 0.249, 0.091], checks for var: 20
150: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.712, 0.288], checks for var: 20
151: expect=-2, actual=np.int64(2), [0.000, 0.000, 0.000, 0.001, 0.146, 0.854, 0.000], checks for var: 19
152: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.319, 0.680], checks for var: 20
154: expect=-2, actual=np.int64(-3), [0.576, 0.424, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 20
156: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.997, 0.003, 0.000], checks for var: 20
157: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.645, 0.332, 0.023], checks for var: 20
159: expect=1, actual=np.int64(-1), [0.000, 0.000, 0.999, 0.000, 0.000, 0.000, 0.000], checks for var: 19
160: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.992, 0.005, 0.000, 0.000], checks for var: 19
161: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.911, 0.045, 0.044, 0.000, 0.000], checks for var: 20
162: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.993, 0.005, 0.001, 0.000], checks for var: 19
163: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000], checks for var: 19
164: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.006, 0.981, 0.012], checks for var: 17
165: expect=-1, actual=np.int64(-2), [0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
166: expect=0, actual=np.int64(-2), [0.001, 0.998, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 19
167: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.740, 0.260], checks for var: 19
169: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.967, 0.033], checks for var: 19
170: expect=-1, actual=np.int64(-2), [0.008, 0.992, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
171: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.007, 0.992, 0.001, 0.000], checks for var: 19
172: expect=0, actual=np.int64(1), [0.002, 0.003, 0.027, 0.004, 0.963, 0.000, 0.000], checks for var: 20
173: expect=2, actual=np.int64(-2), [0.006, 0.749, 0.238, 0.007, 0.000, 0.000, 0.000], checks for var: 19
174: expect=1, actual=np.int64(-1), [0.000, 0.001, 0.999, 0.000, 0.000, 0.000, 0.000], checks for var: 19
175: expect=0, actual=np.int64(-2), [0.001, 0.982, 0.017, 0.000, 0.000, 0.000, 0.000], checks for var: 19
176: expect=1, actual=np.int64(-1), [0.001, 0.002, 0.993, 0.002, 0.002, 0.000, 0.000], checks for var: 19
178: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.987, 0.013, 0.000, 0.000], checks for var: 19
179: expect=-1, actual=np.int64(-3), [0.866, 0.131, 0.002, 0.000, 0.000, 0.000, 0.000], checks for var: 19
180: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.423, 0.542, 0.035, 0.000, 0.000], checks for var: 20
181: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.893, 0.103, 0.004, 0.001], checks for var: 20
182: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.997, 0.001, 0.002], checks for var: 19
183: expect=-1, actual=np.int64(-3), [0.948, 0.052, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
184: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 18
185: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.987, 0.013, 0.000, 0.000], checks for var: 18
186: expect=-3, actual=np.int64(0), [0.002, 0.015, 0.070, 0.726, 0.186, 0.000, 0.000], checks for var: 20
187: expect=0, actual=np.int64(-2), [0.310, 0.690, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
190: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.002, 0.998, 0.000], checks for var: 18
192: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.011, 0.989, 0.000, 0.000, 0.000], checks for var: 20
193: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.966, 0.034, 0.000, 0.000], checks for var: 20
194: expect=2, actual=np.int64(-1), [0.001, 0.020, 0.971, 0.008, 0.000, 0.000, 0.000], checks for var: 18
196: expect=0, actual=np.int64(-2), [0.000, 0.743, 0.257, 0.000, 0.000, 0.000, 0.000], checks for var: 18
197: expect=3, actual=np.int64(0), [0.000, 0.000, 0.004, 0.996, 0.000, 0.000, 0.000], checks for var: 19
