Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 65077)
rand_mask=b'\xc0v(e\xe1\xff\xc8s'
masked_addr=b'\xc0\xd9\xec\xc6\xe0\xff\xc8s'
target_addr=00afc4a301000000
lowest_message_bit=15
key 0
182: expect=0, actual=np.int64(1), [0.000, 0.000, 0.004, 0.009, 0.901, 0.085, 0.000], checks for var: 20
183: expect=1, actual=np.int64(-1), [0.002, 0.097, 0.900, 0.000, 0.000, 0.000, 0.000], checks for var: 19
185: expect=1, actual=np.int64(-1), [0.000, 0.003, 0.847, 0.149, 0.001, 0.000, 0.000], checks for var: 20
188: expect=-1, actual=np.int64(-2), [0.075, 0.893, 0.031, 0.000, 0.000, 0.000, 0.000], checks for var: 20
190: expect=-1, actual=np.int64(-2), [0.000, 0.991, 0.009, 0.000, 0.000, 0.000, 0.000], checks for var: 20
192: expect=0, actual=np.int64(-1), [0.000, 0.001, 0.736, 0.262, 0.000, 0.000, 0.000], checks for var: 20
193: expect=-1, actual=np.int64(-2), [0.049, 0.770, 0.178, 0.003, 0.000, 0.000, 0.000], checks for var: 19
194: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.225, 0.769, 0.006], checks for var: 19
195: expect=-1, actual=np.int64(0), [0.000, 0.002, 0.161, 0.835, 0.002, 0.000, 0.000], checks for var: 19
197: expect=0, actual=np.int64(2), [0.000, 0.000, 0.008, 0.369, 0.011, 0.577, 0.035], checks for var: 20
198: expect=-1, actual=np.int64(-2), [0.010, 0.954, 0.035, 0.000, 0.000, 0.000, 0.000], checks for var: 19
200: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.003, 0.897, 0.098, 0.002], checks for var: 19
201: expect=-2, actual=np.int64(-1), [0.000, 0.020, 0.861, 0.119, 0.001, 0.000, 0.000], checks for var: 20
204: expect=0, actual=np.int64(2), [0.000, 0.007, 0.135, 0.290, 0.180, 0.353, 0.034], checks for var: 20
205: expect=1, actual=np.int64(-1), [0.000, 0.353, 0.579, 0.065, 0.003, 0.000, 0.000], checks for var: 19
206: expect=2, actual=np.int64(-2), [0.002, 0.547, 0.451, 0.000, 0.000, 0.000, 0.000], checks for var: 19
207: expect=-1, actual=np.int64(-2), [0.172, 0.764, 0.064, 0.000, 0.000, 0.000, 0.000], checks for var: 20
208: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.001, 0.000, 0.154, 0.845], checks for var: 20
211: expect=1, actual=np.int64(0), [0.000, 0.001, 0.003, 0.982, 0.013, 0.002, 0.000], checks for var: 19
212: expect=-2, actual=np.int64(-3), [0.501, 0.277, 0.221, 0.000, 0.000, 0.000, 0.000], checks for var: 20
213: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.950, 0.039, 0.011, 0.000], checks for var: 19
217: expect=-1, actual=np.int64(-2), [0.244, 0.622, 0.134, 0.000, 0.000, 0.000, 0.000], checks for var: 20
218: expect=3, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.033, 0.730, 0.237], checks for var: 20
221: expect=-1, actual=np.int64(-2), [0.075, 0.834, 0.085, 0.005, 0.000, 0.000, 0.000], checks for var: 20
222: expect=-1, actual=np.int64(-2), [0.344, 0.507, 0.123, 0.026, 0.000, 0.000, 0.000], checks for var: 20
225: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.018, 0.962, 0.020, 0.001], checks for var: 19
227: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.016, 0.966, 0.012, 0.006, 0.000], checks for var: 20
228: expect=-2, actual=np.int64(0), [0.015, 0.027, 0.101, 0.820, 0.026, 0.011, 0.000], checks for var: 19
230: expect=1, actual=np.int64(0), [0.000, 0.001, 0.023, 0.562, 0.411, 0.003, 0.000], checks for var: 19
233: expect=-2, actual=np.int64(0), [0.002, 0.028, 0.218, 0.620, 0.128, 0.003, 0.000], checks for var: 20
234: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.049, 0.950], checks for var: 20
238: expect=1, actual=np.int64(2), [0.000, 0.000, 0.004, 0.053, 0.036, 0.796, 0.111], checks for var: 20
242: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.401, 0.413, 0.186], checks for var: 19
244: expect=1, actual=np.int64(0), [0.000, 0.003, 0.145, 0.788, 0.062, 0.001, 0.000], checks for var: 20
245: expect=1, actual=np.int64(0), [0.000, 0.000, 0.264, 0.697, 0.021, 0.017, 0.002], checks for var: 20
246: expect=0, actual=np.int64(1), [0.001, 0.009, 0.032, 0.117, 0.797, 0.042, 0.002], checks for var: 19
247: expect=1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.993, 0.004, 0.000, 0.000], checks for var: 19
249: expect=2, actual=np.int64(1), [0.000, 0.005, 0.048, 0.083, 0.817, 0.047, 0.000], checks for var: 20
250: expect=1, actual=np.int64(-2), [0.000, 0.697, 0.301, 0.002, 0.000, 0.000, 0.000], checks for var: 20
251: expect=1, actual=np.int64(-2), [0.002, 0.669, 0.220, 0.052, 0.057, 0.000, 0.000], checks for var: 20
252: expect=2, actual=np.int64(0), [0.001, 0.012, 0.117, 0.793, 0.076, 0.001, 0.000], checks for var: 19
255: expect=2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.778, 0.216, 0.005], checks for var: 20
256: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.275, 0.720, 0.005], checks for var: 20
258: expect=-2, actual=np.int64(-3), [0.865, 0.091, 0.041, 0.001, 0.000, 0.000, 0.000], checks for var: 20
259: expect=0, actual=np.int64(-1), [0.006, 0.387, 0.506, 0.021, 0.070, 0.005, 0.006], checks for var: 20
260: expect=0, actual=np.int64(-1), [0.001, 0.019, 0.971, 0.008, 0.001, 0.000, 0.000], checks for var: 19
261: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.833, 0.166, 0.000], checks for var: 20
264: expect=-2, actual=np.int64(1), [0.001, 0.003, 0.003, 0.042, 0.951, 0.000, 0.000], checks for var: 20
265: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.321, 0.678, 0.001, 0.000, 0.000], checks for var: 19
266: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.470, 0.523, 0.008], checks for var: 19
267: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.001, 0.000, 0.000], checks for var: 19
268: expect=0, actual=np.int64(-2), [0.084, 0.370, 0.102, 0.142, 0.300, 0.001, 0.000], checks for var: 20
269: expect=-1, actual=np.int64(-3), [0.533, 0.419, 0.048, 0.000, 0.000, 0.000, 0.000], checks for var: 20
270: expect=-1, actual=np.int64(1), [0.001, 0.019, 0.010, 0.010, 0.927, 0.032, 0.001], checks for var: 19
271: expect=-2, actual=np.int64(-1), [0.001, 0.227, 0.726, 0.044, 0.001, 0.000, 0.000], checks for var: 19
272: expect=0, actual=np.int64(-3), [1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
273: expect=0, actual=np.int64(-1), [0.000, 0.000, 0.567, 0.399, 0.019, 0.001, 0.012], checks for var: 20
274: expect=0, actual=np.int64(-3), [0.664, 0.299, 0.037, 0.000, 0.000, 0.000, 0.000], checks for var: 20
275: expect=1, actual=np.int64(-2), [0.000, 0.493, 0.039, 0.453, 0.013, 0.001, 0.000], checks for var: 19
276: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 0.999], checks for var: 20
279: expect=1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.906, 0.068, 0.020, 0.002], checks for var: 20
